INFO:rescale_gfx.py:Load dds file = STREET_SPEECH_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ST_PETERS_CHURCH_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = THEATRE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TOURNAMENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TRADEGOODS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TRADE_GOODS_FURS_FISH_AND_SALT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TRADE_GOODS_METALS_AND_MINING_EQUIPENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TRADE_GOODS_PLANTATION_GOODS_IN_WAREHOUSE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = UNIVERSITY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = WAR_OF_THE_ROSES_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = WESTERNISATION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = WOUNDED_SOLDIERS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BURGHER_ESTATE_UPSET_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BURGHER_ESTATE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CHURCH_ESTATE_1_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CHURCH_ESTATE_2_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CHURCH_ESTATE_UPSET_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = NOBLE_ESTATE_DEMANDS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = NOBLE_ESTATE_TAKE_OVER_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = NOBLE_ESTATE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BATTLE_VISTULA_LAGOON_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = HUSSARS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = IMPALED_SOLDIERS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = MONGOL_BANNERS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SEJM_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SYNTHETICS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = event_test.dds
INFO:rescale_gfx.py:Load dds file = AFRICAN_ARTWORK_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = AFRICAN_EXPLORING_JUNGLE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = AFRICAN_KING_MEDIATING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = AFRICAN_MARRIAGE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = AFRICAN_SOCIAL_GATHERING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ANIMIST_RELIGIOUS_CEREMONY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ANSHANTI_FIREARMS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ASTRONOMER_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = AULIC_COUNCIL_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = AXEL_OXENSTIERNA_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BENIN_TRADING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CAMEL_PATROL_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CARDINAL_RICHELIEU_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CATHOLIC_LEAGUE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CATHOLIC_RULERS_PRAYING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CHRISTIAN_ANIMIST_ALTAR_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CZECH_NOBLES_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DEFENESTRATION_PRAGUE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DESCARTES_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DESERT_CARAVAN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DIPLOMACY_SIGNING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DUTCH_SHIPS_PLUNDERING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FARMING_WIFE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = FREDERICK_V_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = GASPAR_DE_GUZMAN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = GENERALS_DISCUSSING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = GOLDEN_STOOL_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = HABSBURG_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = INIGO_GUEVARA_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = JESUIT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = MONARCH_CHILD_WITH_REGENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = MOSSI_CAVALRY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = MUSLIM_ANIMIST_ALTAR_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = MUSLIM_ANIMIST_DISPUTE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = NOMAD_AFRICANS_TRAVELLING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PEASANTS_BARTERING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = POMERANIA_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PORT_BLOCKADED_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PRINCELY_PALACE_TRANSYLVANIA_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PRINCE_BISHOP_RESIGN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PRINCE_BISHOP_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PROTESTANT_CATHOLIC_DEBATE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = PRUSSIA_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = REFUGEES_ESCAPING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = REVOLT_HUGUENOTS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = REVOLT_HUNGARIAN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SCOTTISH_MERCENARIES_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SIEGE_PRAGUE_CASTLE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SOLDIERS_FREEZING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = SONGHAIR_SCHOLAR_WRITING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TOLLS_SHIP_CARGO_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TRANSYLVANIAN_OTTOMAN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TRANSYLVANIA_BETHLEN_INVASION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = TUAREG_OTTOMAN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = VILLAGE_BURNING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = VILLAGE_RAIDED_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = WALLENSTEIN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = WHITE_MOUNTAIN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = WITCHBURNING_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = WITCHTRIAL_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = big_arabian_city.dds
INFO:rescale_gfx.py:Load dds file = caravan.dds
INFO:rescale_gfx.py:Load dds file = dhow_at_sea.dds
INFO:rescale_gfx.py:Load dds file = disciplined_soldiers.dds
INFO:rescale_gfx.py:Load dds file = fortified_city_with_caravan_outside.dds
INFO:rescale_gfx.py:Load dds file = heir_and_foreign_advisor.dds
INFO:rescale_gfx.py:Load dds file = janissaries_in_formation.dds
INFO:rescale_gfx.py:Load dds file = janissary_revolt.dds
INFO:rescale_gfx.py:Load dds file = king_of_foreign_customs.dds
INFO:rescale_gfx.py:Load dds file = mamluk_warriors.dds
INFO:rescale_gfx.py:Load dds file = mecca.dds
INFO:rescale_gfx.py:Load dds file = muslim_scholar_writing.dds
INFO:rescale_gfx.py:Load dds file = mystic_in_prayer.dds
INFO:rescale_gfx.py:Load dds file = mystics_dancing.dds
INFO:rescale_gfx.py:Load dds file = not_disciplined_soldiers.dds
INFO:rescale_gfx.py:Load dds file = prayer_in_mosque.dds
